ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,va Cell Phone,Response ID,Timestamp MM/dd/yyyy,Custom Variable 1,Custom Variable 2,Custom Variable 3,Custom Variable 4,Respondent Email,Region,How many people are in the veterans household including the veteran,Veterans First Name if first name is not provided  please type,Veterans Email Address yourname.com,Cell Phone XXX-XXX-XXXX 1-999-999-9999,UserAgent,Q_URL,Q35,QIS,QIVA,Q1,Q2,Q3,Q4,Q5,Q6,Q7,F37,Q8 into,Q8.1-1a,Q8.1-1b,Q8.1-1c_1,Q8.2-2a,Q8.2-2b,Q8.2-2c_1,Q8.3-a_1,Q8.3-a_2,Q8.3-a_3,Q8.3-a_4,Q8.3-a_5,Q8.3-a_6,Q8.3-a_7,Q8.3-a_8,Q8.3-b_1,Q8.3-b_2,Q8.3-b_3,Q8.3-b_4,Q8.3-b_5,Q8.3-b_6,Q8.3-b_7,Q8.3-b_8,Q8.3-c_1,Q8.3-c_2,Q8.3-c_3,Q8.3-c_4,Q8.3-c_5,Q8.3-c_6,Q8.3-c_7,Q8.3-c_8,Q8.4-a_1,Q8.4-a_2,Q8.4-a_3,Q8.4-a_4,Q8.4-a_5,Q8.4-a_6,Q8.4-a_6_TEXT,Q8.4-b_1,Q8.4-b_2,Q8.4-b_3,Q8.4-b_4,Q8.4-b_5,Q8.4-b_6,Q8.4-b_6_TEXT,Q8.4-c_1,Q8.4-c_2,Q8.4-c_3,Q8.4-c_4,Q8.4-c_5,Q8.4-c_6,Q8.4-c_6_TEXT,Q15,Q16,Q17,Q18,Negative,date range
557,Default Response Set,,4/23/16 13:33,5/1/16 0:09, ,,,,1,0, ,, ,Decatur Cooperative Ministry  Inc.,13-GA-102,,,,GA,,,,,,,1,1,1,1,1,2,2,2,,,,1,1,2,,1,2,,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,,,,,,,,,1,1,1,1,1,, ,2,2,2,2,2,, ,,,,,,, ,4,1,1,2,,5/31/2016
558,Default Response Set,,4/29/16 13:09,5/1/16 0:09, ,,,,1,0, ,, ,Salvation Army  a California Corporation,13-NV-118,,,,NV,,,,,,,1,1,1,4,4,5,4,1,1,,,1,1,1,4,1,1,4,1,1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,4,4,,3,,,,4,1,1,1,2,2,2, ,1,1,1,2,2,2, ,3,4,5,,,, ,1,2,2,,,5/31/2016
559,Default Response Set,,4/29/16 12:59,5/1/16 0:09, ,,,,1,0, ,, ,Families in Transition of Santa Cruz County  Inc.,14-CA-169,,,,CA,,,,,,,1,1,2,4,3,1,4,2,,,,1,1,1,4,1,1,4,,,,1,,,,1,,,,1,,,,1,,,,5,,,,5,1,,,,,, ,1,,,,,, ,4,,,,,, ,1,1,1,1,,5/31/2016
560,Default Response Set,,4/29/16 13:23,5/1/16 0:09, ,,,,1,0, ,, ,Veterans Northeast Outreach Center  Inc.,14-MA-209,,,,MA,,,,,,,1,1,1,4,3,5,4,2,,,,1,1,2,,2,2,,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,3,,,,,,,,1,1,1,1,,, ,2,2,2,2,2,2, ,,,,,,, ,3,1,1,2,,5/31/2016
561,Default Response Set,,4/29/16 13:28,5/1/16 0:09, ,,,,1,0, ,, ,Seven Hills Homeless Center,14-AR-156,,,,LA,,,,,,,1,1,1,2,4,5,4,1,1,,,1,1,1,5,2,2,,,,,,,,,,1,1,2,2,2,2,2,2,5,,,,,,,,2,1,1,2,1,2, ,1,1,1,2,1,2, ,5,5,5,,5,, ,2,1,1,2,,5/31/2016
562,Default Response Set,,4/29/16 13:43,5/1/16 0:09, ,,,,1,0, ,, ,United Way of Central Alabama,14-ZZ-153,,,,AL,,,,,,,1,1,1,5,4,5,4,1,1,,,1,1,1,5,2,2,,1,1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,5,5,,5,,,,5,1,1,1,,1,, ,1,1,1,,1,, ,5,5,5,,4,, ,1,2,1,2,,5/31/2016
563,Default Response Set,,4/29/16 14:45,5/1/16 0:09, ,,,,1,0, ,, ,Family Endeavors  Inc.,14-AL-155,,,,TX,,,,,,,1,1,1,3,4,5,4,1,1,,,1,1,1,3,1,1,5,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,3,3,3,,3,,,3,1,1,2,2,2,2, ,1,1,2,2,2,2, ,3,3,,,,, ,1,1,2,,,5/31/2016
564,Default Response Set,,4/29/16 14:54,5/1/16 0:09, ,,,,0,0, ,, ,Family Endeavors  Inc.,14-NC-235,,,,TX,,,,,,,1,1,2,4,4,4,4,1,1,,,1,1,1,4,1,1,4,1,1,1,,1,1,1,1,2,2,1,2,2,2,2,1,,,4,,,,,4,2,2,2,2,2,2, ,,,,,,, ,,,,,,, ,,,,,,5/31/2016
565,Default Response Set,,4/29/16 15:18,5/1/16 0:09, ,,,,1,0, ,, ,Friendship Place,C2015-DC-500B,,,,DC,,,,,,,1,1,1,4,4,5,4,1,1,,,1,1,1,4,1,1,4,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,4,4,4,4,4,4,,4,1,1,1,1,2,2, ,1,1,1,1,2,2, ,5,5,5,5,,, ,1,1,1,2,,5/31/2016
566,Default Response Set,,4/29/16 16:09,5/1/16 0:09, ,,,,1,0, ,, ,The Greater Wheeling Coalition for the Homeless  Inc.,14-WV-303,,,,PA,,,,,,,1,1,2,5,4,5,4,1,1,,,1,1,1,5,1,1,5,1,2,1,2,2,2,2,1,1,2,1,2,2,2,2,1,5,,5,,,,,5,1,2,1,2,2,2, ,1,2,1,2,2,2, ,5,,5,,,, ,2,2,2,,,5/31/2016
567,Default Response Set,,4/29/16 14:11,5/1/16 0:09, ,,,,0,0, ,, ,Project Community Connections  Inc.,C15-GA-508A,,,,GA,,,,,,,1,1,1,5,4,5,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,, ,,,,,,, ,,,,,,5/31/2016
568,Default Response Set,,4/29/16 17:19,5/1/16 0:09, ,,,,1,0, ,, ,Travelers Aid of Metropolitan Atlanta  Inc.,14-GA-188,,,,GA,,,,,,,1,1,1,3,4,4,4,1,1,,,1,1,1,3,2,2,,1,2,1,1,2,2,2,1,1,2,1,2,2,2,2,1,3,,3,,,,,3,1,1,1,2,2,, ,1,1,1,2,2,, ,3,3,3,,,, ,1,2,2,,,5/31/2016
569,Default Response Set,,4/30/16 9:40,5/1/16 0:09, ,,,,1,0, ,, ,Goodwill Industries of New Mexico,12-NM-055,,,,NM,,,,,,,1,4,1,5,4,5,4,1,1,,,1,1,1,5,1,1,5,2,2,1,2,1,2,2,1,,1,1,,1,,,1,,5,5,,5,,,5,1,1,,,,, ,1,1,,,,, ,5,5,,,,, ,3,1,2,,,5/31/2016
570,Default Response Set,,4/30/16 12:01,5/1/16 0:09, ,,,,1,0, ,, ,Volunteers of America Colorado Branch  Inc.,13-ZZ-092,,,,CO,,,,,,,1,2,1,5,4,5,4,1,1,,,1,1,1,5,2,1,5,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,1,5,,5,,,,,5,1,1,2,2,2,2, ,1,1,2,2,2,2, ,5,5,,,,, ,2,2,2,,,5/31/2016
571,Default Response Set,,4/30/16 13:43,5/1/16 0:09, ,,,,1,0, ,, ,Kentucky River Foothills Development Council  Inc.,14-KY-204,,,,OH,,,,,,,1,2,1,4,3,5,4,1,1,,,1,1,1,4,2,2,,2,2,1,2,2,2,2,1,2,2,1,2,1,2,2,1,,,4,,4,,,4,1,1,2,1,2,, ,1,2,2,2,2,, ,5,,,,,, ,1,1,1,2,,5/31/2016
572,Default Response Set,,4/30/16 16:01,5/1/16 0:09, ,,,,1,0, ,, ,Vietnam Veterans of San Diego,C15-CA-601A,,,,CA,,,,,,,1,3,1,2,2,2,2,1,2,,,1,2,1,3,1,1,4,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,1,4,,,,,,,2,1,1,1,1,2,2, ,2,2,2,2,2,2, ,,,,,,, ,1,1,2,,,5/31/2016
573,Default Response Set,,4/30/16 16:29,5/1/16 0:09, ,,,,1,0, ,, ,"Chautauqua Opportunities, Inc.",15-ZZ-340,,,,PA,,,,,,,1,1,2,5,4,5,4,1,1,,,1,1,1,5,2,2,,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,,,,,,,,5,1,1,1,2,2,, ,2,2,2,2,2,2, ,,,,,,, ,1,2,2,,,5/31/2016
575,Default Response Set,,5/1/16 4:49,5/1/16 4:58, ,,,,1,0, ,, ,New Mexico Veterans Integration Centers,14-NM-246,,,,NM,,,,,,,1,1,1,5,4,5,4,1,1,,,1,1,1,5,1,1,5,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,1,5,5,5,,5,4,,5,1,1,1,,2,1, ,1,1,1,2,1,1, ,5,5,5,,3,5, ,1,1,1,1,,5/31/2016
